gamma,max_depth,misclassification
0.10380493682520418,1,0.18464543319285034
0.10380493682520418,2,0.18233662607652715
0.10380493682520418,3,0.18868667854941612
0.10380493682520418,4,0.19359331012310305
0.10380493682520418,5,0.20021988639203078
0.10380493682520418,6,0.1958971198214256
0.10380493682520418,7,0.19013759557561927
0.10380493682520418,8,0.1947435491662641
0.10380493682520418,9,0.1938806616581433
0.10380493682520418,10,0.19764288450967
0.5286900511580489,1,0.18464543319285034
0.5286900511580489,2,0.18320117939064817
0.5286900511580489,3,0.18031766920424447
0.5286900511580489,4,0.18349102963468875
0.5286900511580489,5,0.19446119504922454
0.5286900511580489,6,0.19013509686661892
0.5286900511580489,7,0.1866685545801336
0.5286900511580489,8,0.1964793190185071
0.5286900511580489,9,0.1941730106111842
0.5286900511580489,10,0.1912878346187803
1.1979000349108193,1,0.18464543319285034
1.1979000349108193,2,0.18117972380936517
1.1979000349108193,3,0.18118305542136562
1.1979000349108193,4,0.18349269544068897
1.1979000349108193,5,0.1832078426146491
1.1979000349108193,6,0.18233829188252734
1.1979000349108193,7,0.1961878029684663
1.1979000349108193,8,0.1907164631607003
1.1979000349108193,9,0.19474937948726492
1.1979000349108193,10,0.1904207825956589
5.946382812852192,1,0.18464543319285034
5.946382812852192,2,0.18233662607652712
5.946382812852192,3,0.1739734470523563
5.946382812852192,4,0.1777206776498809
5.946382812852192,5,0.17368942712931654
5.946382812852192,6,0.17628225416867951
5.946382812852192,7,0.17456230947343873
5.946382812852192,8,0.17800969499092137
5.946382812852192,9,0.1768536256267595
5.946382812852192,10,0.1849336176308907
25.71039063690124,1,0.18464543319285034
25.71039063690124,2,0.18464543319285034
25.71039063690124,3,0.18464543319285034
25.71039063690124,4,0.18378087987872932
25.71039063690124,5,0.18378171278172944
25.71039063690124,6,0.18378171278172944
25.71039063690124,7,0.18378171278172944
25.71039063690124,8,0.18378171278172944
25.71039063690124,9,0.18378171278172944
25.71039063690124,10,0.18378171278172944
