cost,misclassification
0.0012371836118219817,0.2795680565041395
0.0028398097029602764,0.24839999333677598
0.002843241843761637,0.24839999333677598
0.002988853948394366,0.24522746580933183
0.0044492974591718824,0.2080150255701221
0.01059407176976535,0.18464543319285034
0.011011861362077748,0.18464543319285034
0.013681342515881255,0.18464543319285034
0.023598938891602524,0.18464543319285034
0.08548258184545629,0.18464543319285034
0.16394874368667417,0.18464543319285034
0.6391348662184676,0.1855108194099715
0.6622182440184613,0.1855108194099715
1.5498408325493924,0.18579733804201162
7.618486598844829,0.18579733804201162
7.780483226419173,0.18579733804201162
53.34123307747217,0.18579733804201162
77.4990962152521,0.18579733804201162
106.13024589152462,0.18579733804201162
107.68191721757819,0.18579733804201162
177.608955478473,0.18579733804201162
296.97189824368826,0.18579733804201162
306.4382378605004,0.18579733804201162
363.0165889600013,0.18579733804201162
830.4928405866964,0.18579733804201162
