train_error,test_error,alpha,lambda
0.26874513448235327,0.26903132989018497,0,0.019852156882763372
0.2659128764607642,0.2654294792841839,0.1111111111111111,4.5299208281105125e-4
0.2659661060555317,0.26549158015670116,0.2222222222222222,3.9580826463970483e-4
0.26605925784637496,0.2654087789933448,0.3333333333333333,3.178349706263957e-4
0.26601933565029934,0.26547087986586215,0.4444444444444444,1.8032287466682517e-4
0.26612579483983434,0.2653777285570862,0.5555555555555556,2.297000083627193e-4
0.2660947442428866,0.2655847314654771,0.6666666666666666,3.6712000239826753e-4
0.2661391022385262,0.2655847314654771,0.7777777777777777,3.146742877699435e-4
0.2660858726437587,0.26550193030212077,0.8888888888888888,1.4356250522669958e-4
0.2660503862472471,0.26531562768456896,1,8.795739214215658e-5
